|id|urlkey|timestamp|mime|mime-detected|digest|offset|url|length|status|filename
0||com,goodreads)/book/show/18373319-batwoman-vol-4?utm_medium=api&utm_source=blog_book|20190326011517|text/html|text/html|NOXHVU3PTW5VE4EU5RQUP6D4TRNGW352|777022793|https://www.goodreads.com/book/show/18373319-batwoman-vol-4?utm_medium=api&utm_source=blog_book|64569|200|crawl-data/CC-MAIN-2019-13/segments/1552912204736.6/warc/CC-MAIN-20190325234449-20190326020449-00414.warc.gz
0||com,goodreads)/book/show/18373870|20190318224941|text/html|text/html|FHHODMDMRWY6TJL4U64TGPAVYXX5Z36Z|9581615|http://www.goodreads.com/book/show/18373870|949|301|crawl-data/CC-MAIN-2019-13/segments/1552912201707.53/crawldiagnostics/CC-MAIN-20190318211849-20190318233849-00233.warc.gz
0||com,goodreads)/book/show/18373870-secret-pleasure|20190318224941|text/html|text/html|KDP35CMWLS2JNBNZAQLLTCHO5TY6HKPB|8951896|http://www.goodreads.com/book/show/18373870-secret-pleasure|949|301|crawl-data/CC-MAIN-2019-13/segments/1552912201707.53/crawldiagnostics/CC-MAIN-20190318211849-20190318233849-00342.warc.gz
0||com,goodreads)/book/show/18373870-secret-pleasure|20190318224943|text/html|text/html|ITEY3ZEQLYWGXQFGKKQMRSVFBSHXOVAY|786968032|https://www.goodreads.com/book/show/18373870-secret-pleasure|71446|200|crawl-data/CC-MAIN-2019-13/segments/1552912201707.53/warc/CC-MAIN-20190318211849-20190318233849-00165.warc.gz
0||com,goodreads)/book/show/18373879|20190323095309|text/html|text/html|D5UCN4IU6JIG4OEVM22MCDWCM4OZBGDQ|9579278|http://www.goodreads.com/book/show/18373879|944|301|crawl-data/CC-MAIN-2019-13/segments/1552912202781.33/crawldiagnostics/CC-MAIN-20190323080959-20190323102959-00242.warc.gz
0||com,goodreads)/book/show/18373879-secret-seduction|20190323095309|text/html|text/html|ATNFN5DHXXQNYYG7O2NC2MPNUZM4TANB|9676534|http://www.goodreads.com/book/show/18373879-secret-seduction|937|301|crawl-data/CC-MAIN-2019-13/segments/1552912202781.33/crawldiagnostics/CC-MAIN-20190323080959-20190323102959-00050.warc.gz
0||com,goodreads)/book/show/18373879-secret-seduction|20190323095311|text/html|text/html|NDX2B3PA632L5VSY5KMUGD6FEW54U4EO|787778436|https://www.goodreads.com/book/show/18373879-secret-seduction|78910|200|crawl-data/CC-MAIN-2019-13/segments/1552912202781.33/warc/CC-MAIN-20190323080959-20190323102959-00147.warc.gz
0||com,goodreads)/book/show/18373879-secret-seduction|20190324095626|text/html|text/html|ATNFN5DHXXQNYYG7O2NC2MPNUZM4TANB|10288718|http://www.goodreads.com/book/show/18373879-secret-seduction|941|301|crawl-data/CC-MAIN-2019-13/segments/1552912203409.36/crawldiagnostics/CC-MAIN-20190324083551-20190324105551-00050.warc.gz
0||com,goodreads)/book/show/18373879-secret-seduction|20190324095628|text/html|text/html|AZBQNKSPJWMKDJCS5MJQU3VJJJRG3F7X|785520360|https://www.goodreads.com/book/show/18373879-secret-seduction|79043|200|crawl-data/CC-MAIN-2019-13/segments/1552912203409.36/warc/CC-MAIN-20190324083551-20190324105551-00147.warc.gz
0||com,goodreads)/book/show/18377638-beautiful-broken|20190326011212|text/html|text/html|3ITOMQWGVZPESH7OI4I3KYZ7HGYGV2R5|770138113|https://www.goodreads.com/book/show/18377638-beautiful-broken|89526|200|crawl-data/CC-MAIN-2019-13/segments/1552912204736.6/warc/CC-MAIN-20190325234449-20190326020449-00176.warc.gz
