|data
91|https://thebookishactress.wordpress.com
92|https://www.goodreads.com/user/show/52545435
93|https://twitter.com/jespergayhey
94|http://www.youtube.com/channel/UCVIY_GxZIuclzsIw9CLSe3g
95|http://cuddlebuggery.com
96|https://www.goodreads.com/review/show/1531344429
97|https://www.goodreads.com/review/show/1531343392?book_show_action=false&from_review_page=1
98|https://www.goodreads.com/review/show/2144450932?book_show_action=false&from_review_page=1
99|https://www.goodreads.com/review/show/2144450948?book_show_action=false&from_review_page=1
100|https://www.goodreads.com/review/show/2144450962
101|http://www.123glitter.com
102|http://www.cassandraclare.com/my-writing/excerpts-extras/moonlight/
103|https://www.goodreads.com/review/show/2008644944
104|https://www.goodreads.com/review/show/2373838717
105|https://www.goodreads.com/review/show/2463489480
106|https://www.goodreads.com/review/show/2465856942
107|https://www.goodreads.com/review/show/2489169365
108|https://www.instagram.com/meltotheany/
109|https://www.goodreads.com/review/show/2526157370
110|https://meltotheany.wordpress.com/
111|https://www.twitter.com/meltotheany
112|http://meltotheany.tumblr.com/
113|https://www.youtube.com/channel/UC4RbHEg_fH6CewJrh_0xJ9g
114|http://www.twitch.tv/meltotheany
115|https://www.goodreads.com/user/show/13507409-amy
116|https://acourtofcrownsandquills.wordpress.com/
117|http://www.youtube.com/watch?v=zFTNl5sQBW0
118|http://media.photobucket.com/image/fangirl%20gif/Amaya_Harai/lC3eU.gif?o=6
119|http://ironfey.wikia.com/wiki/Ashallyn%27_darkmyr_Tallyn
120|http://media.photobucket.com/image/cut%20you%20gifs/majere616/GIFs/tumblr_lo6nx7oriq1qadhwp.gif?o=2
121|http://assortedinsanityreviewers.blogspot.com
122|https://www.goodreads.com/user/show/46651661-solomon-the-bookish-king
123|http://melissa413readsalot.blogspot.com/2016/05/clockwork-prince-by-cassandra-clare.html
124|https://www.goodreads.com/review/show/1164387568?book_show_action=false&from_review_page=1
125|https://www.goodreads.com/review/show/1164387572?book_show_action=false&from_review_page=1
126|https://www.goodreads.com/review/show/1164387578?book_show_action=false&from_review_page=1
127|https://www.goodreads.com/topic/show/19518191-clockwork-prince-feb-5-2019
128|https://www.goodreads.com/topic/show/19678836-buddy-read---clockwork-prince
129|https://www.goodreads.com/topic/show/19212568-clockwork-prince
130|https://www.goodreads.com/topic/show/19190974-the-infernal-devices-2-clockwork-prince-by-cassandra-clare----restart
131|https://www.goodreads.com/videos/18955-clockwork-prince
132|https://www.goodreads.com/videos/17352-special-message-from-cassandra
133|http://www.cassandraclare.com
134|http://cassandraclare.livejournal.com/
135|http://www.facebook.com/Cassandraclare
136|http://www.twitter.com/cassieclare
137|https://www.goodreads.com/group/show/37113.Q_A_with_Cassandra_Clare
138|https://www.goodreads.com/work/editions/14928278-the-language-of-flowers
139|https://www.goodreads.com/author/show/4537214.Vanessa_Diffenbaugh
140|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10032672-the-language-of-flowers
141|https://www.goodreads.com/author/show/566874.Sarah_Addison_Allen
142|https://www.goodreads.com/author/show/3119823.Kirsty_Eagar
143|https://www.goodreads.com/author/show/47104.Melina_Marchetta
144|http://www.dramacrazy.net/japanese-movie/oto-na-ri/
145|http://www.cinemablend.com/new/Jenny-Lumet-Translate-Language-Flowers-29233.html
146|http://www.illuminated-books.com/books/flowers.htm
147|http://www.flickr.com/photos/peacockmodern/3098586162/in/faves-40353364@N08/
148|https://www.goodreads.com/author/show/45915.Joshilyn_Jackson
149|https://www.goodreads.com/author/show/625.Nora_Roberts
