|data
414|https://open.spotify.com/user/brilia/playlist/38l294WPXicHHkRWiaemNG
415|http://www.herbookishthings.com
416|https://www.instagram.com/reverieandink/
417|https://twitter.com/reverieandink
418|https://www.etsy.com/shop/reverieandink
419|http://www.bookbastion.net
420|https://www.goodreads.com/user/show/47207032-chelsea-humphrey
421|http://s59.photobucket.com/user/ashleeporte/media/1caffddcbcf2b4bb8b4a9d9bf5164c82.jpg.html
422|http://s59.photobucket.com/user/ashleeporte/media/AHAHAHA.gif.html
423|http://s59.photobucket.com/user/ashleeporte/media/tumblr_md5jwzeHxI1r53dllo1_400_zps37fb1c50-1.gif.html
424|http://s59.photobucket.com/user/ashleeporte/media/tumblr_m5h4r4uERF1r3zat8_zpsf0e3d550.gif.html
425|http://s59.photobucket.com/user/ashleeporte/media/tumblr_m89dpiiHHO1r66u20o1_500.gif.html
426|https://www.goodreads.com/review/show/1975585683
427|https://www.goodreads.com/review/show/1837776030
428|https://www.goodreads.com/review/show/1976067616
429|https://www.goodreads.com/review/show/1837776038
430|https://www.goodreads.com/review/show/1837776045
431|http://s1036.photobucket.com/user/Faeriefreak/media/IMG_20190111_053509_zpslbet8er6.jpeg.html
432|http://melissa413readsalot.blogspot.com/2017/04/shadow-and-bone-by-leigh-bardugo.html
433|https://www.goodreads.com/topic/show/19605580-the-grishaverse-series-by-leigh-bardugo---restarting-march-11th-2019
434|https://www.goodreads.com/topic/show/19742085-shadow-and-bone-discussion-area
435|https://www.goodreads.com/topic/show/19727618-cindy-iii-kaitlynn---grisha-trilogy
436|https://www.goodreads.com/topic/show/19716147-february-2019-shadow-and-bone-by-leigh-bardugo
437|https://www.goodreads.com/videos/22919-shadow-and-bone-trailer
438|http://http//leighbardugo.com/contact/
439|http://twitter.com/Lbardugo
440|http://leighbardugo.com
441|http://instagram.com/lbardugo/7
442|https://www.goodreads.com/work/editions/15093395-storybound
443|https://www.goodreads.com/author/show/4575301.Marissa_Burt
444|http://marissaburt.wordpress.com/about-the-tale-of-una-fairchild/
445|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10194224-storybound
446|http://bookstakeyouplaces.blogspot.com/2012/04/storybound.html
447|http://bookalicious.org/2012/03/review-storybound-by-marissa-burt/
448|http://wordspelunking.blogspot.com
449|http://bunburyinthestacks.com/2012/07/13/review-storybound-by-marissa-burt/
450|http://www.flyleafreview.com
451|http://www.flyleafreview.com/2012/03/book-review-storybound-by-marissa-burt.html
452|http://rondoofpossibleworld.blogspot.com
453|https://www.goodreads.com/topic/show/2349298-storybound
454|https://www.goodreads.com/videos/22152-best-fairy-tale-villain-award
455|https://www.goodreads.com/videos/22151-storybound-inspiration
456|https://www.goodreads.com/work/editions/15093724-ditched-a-love-story
457|https://www.goodreads.com/author/show/4575379.Robin_Mellom
458|http://tehranjobs.net/
459|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10194548-ditched
460|http://www.thegrammariansreviews.blogspot.com
461|http://bookilyeverafter.weebly.com
462|http://smallreview.blogspot.com/2012/01/book-review-ditched-by-robin-mellom.html
463|http://smallreview.blogspot.com/2010/11/star-rating-key.html
464|http://nicksbookblog93.blogspot.com/
465|http://pinkpolkadotbookblog.blogspot.com
466|http://bookstobrightenyourmood.blogspot.com/
467|http://sarahliveslovesreads.blogspot.com
468|https://www.goodreads.com/topic/show/1923915-ditched-by-robin-mellom-start-date-july-26-2014
469|http://www.robinmellom.com
470|https://www.goodreads.com/work/editions/15093808-spies-and-prejudice
471|https://www.goodreads.com/author/show/4575398.Talia_Vance
472|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10194632-spies-and-prejudice
473|http://www.youtube.com/watch?v=uCqJkgYoACo
474|http://wp.me/p18lIL-1OJ
475|http://yalbookbriefs.blogspot.com/2013/07/spies-and-prejudice-talia-vance.html
476|https://www.goodreads.com/work/editions/1005828-the-rough-guide-to-film-noir-rough-guides-reference-titles
477|https://www.goodreads.com/author/show/523.Rough_Guides
478|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F1019704.The_Rough_Guide_to_Film_Noir_1
479|https://www.goodreads.com/work/editions/15109834-cozinha-tradicional-portuguesa
480|https://www.goodreads.com/author/show/1907814.Maria_de_Lourdes_Modesto
481|https://www.goodreads.com/author/show/1858231.Ant_nio_Manuel_Couto_Viana
482|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10210387-cozinha-tradicional-portuguesa
483|https://www.goodreads.com/work/editions/98535-a-history-of-israel-from-the-rise-of-zionism-to-our-time-second-editio
484|https://www.goodreads.com/author/show/3860590.Howard_M_Sachar
485|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F102195.A_History_of_Israel
486|https://www.goodreads.com/work/editions/13361916-notorious-pleasures
487|https://www.goodreads.com/author/show/16202.Elizabeth_Hoyt
488|https://www.goodreads.com/user/new?remember=true&return_url=%2Fbook%2Fshow%2F10220608-notorious-pleasures
489|https://www.goodreads.com/review/show/228311272
490|http://en.wikipedia.org/wiki/Gin_Craze
491|http://inthehammockblog.blogspot.com
492|http://www.theromancereviews.com/viewbooksreview.php?bookid=1253
493|https://www.goodreads.com/topic/show/18071504-notorious-pleasures-book-2
494|https://www.goodreads.com/topic/show/18082236-heroines-engaged-to-men-who-are-not-the-heroes----your-opinions
495|https://www.goodreads.com/topic/show/2091131-historical-series-group-read--maiden-lane-2--notorious-pleasures
